baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
INSL4	101.484684617822	-3.5592095681732	0.661018663156783	-5.38443128243266	7.26740610244802e-08	2.06411104246683e-05
SOHLH2	34.9721107183272	-1.99238703378581	0.37926852790779	-5.25323586635749	1.49449945859365e-07	3.72847321011172e-05
MND1	2.40949759056749	-1.09888907419495	0.341901587163875	-3.21405081301436	0.0013087651040167	0.027981200889177
AL139327.1	2.25188695134433	-3.25925963702807	0.997076259508847	-3.26881680909097	0.00107998198806125	0.0250793553114374
GJB6	203.002950057876	-2.52030835805108	0.375820057755576	-6.70615712504155	1.99816566971417e-11	2.07977790166631e-08
GJA3	18.4093041004206	-1.29364734352217	0.292213499267197	-4.42706222254049	9.55251835063894e-06	0.000971646377577526
SPINK4	46.3935697023473	-2.07863402472546	0.455165173922684	-4.56676860141006	4.95300251769037e-06	0.00060356340581083
ARL4AP1	2.14968078365142	-2.70902676696025	0.738116918255778	-3.67018652459812	0.000242373542000101	0.00974853844364895
CTCFL	7.27057196229731	-2.37549856105454	0.482623723811523	-4.92205095575085	8.56419065715451e-07	0.00014845803363104
PI3	262.841040697484	-2.05188271231524	0.327883389702	-6.25796480321896	3.90033814091552e-10	2.250190393391e-07
GDAP1L1	8.24290641078918	-1.22187012372767	0.312590141889324	-3.90885687034971	9.27338827020879e-05	0.00504272923565419
PCK1	46.3016831767483	-1.9612064685282	0.498901680295042	-3.93104803208595	8.45763712554719e-05	0.00472856409441199
MAGEA10	53.5286204003385	-3.1659389335051	0.771140885181721	-4.10552597371237	4.03395951822297e-05	0.00284247876510204
AC105760.1	2.28901386346537	-2.00549208013544	0.601130800186656	-3.33619917580785	0.000849322909700245	0.0218077536821016
CXCL6	253.535578260042	-1.3293613486616	0.323588230526204	-4.10818819491628	3.98775109715425e-05	0.00281529127648617
MIR9-1HG	192.673526538737	-1.08206359901846	0.328928658201487	-3.28966045383506	0.00100308347284046	0.0241733590936309
IL37	355.125301156954	-1.44858455132404	0.416740310883596	-3.47598855568513	0.000508974005074337	0.0159667350801697
NKX2-2	1.46660481722429	-2.63148997108463	0.78988246148084	-3.33149563309864	0.000863806553291602	0.0220697686863289
PCSK2	837.940312007289	-2.48336039971562	0.456080132703254	-5.44500893953958	5.18027839259503e-08	1.56098830577684e-05
WNK4	61.2840323332739	-1.06411369429751	0.242094947130522	-4.39543950383983	1.10548849772728e-05	0.00107668027822261
SSX1	10.644948386534	-4.59070854351118	0.93734049900687	-4.89758902808011	9.70196815863258e-07	0.00016136295960414
CTAG2	32.2383005642376	-2.88810286750889	0.932741407709945	-3.09635965942557	0.0019591257532957	0.03606021943616
